統編,分類,子分類,項目,單位,年份,數值
70750217,E,溫室氣體排放,範疇一直接排放,公噸CO2e,2017,80606.63
70750217,E,溫室氣體排放,範疇二間接排放,公噸CO2e,2017,40713.24
70750217,E,溫室氣體排放,每單位營收排放量,公噸CO2e/億元,2017,4463.699473347653
84149738,E,溫室氣體排放,範疇一直接排放,公噸CO2e,2017,2692688.27
84149738,E,溫室氣體排放,範疇二間接排放,公噸CO2e,2017,2419005.81
84149738,E,溫室氣體排放,每單位營收排放量,公噸CO2e/億元,2017,1498.9062710159449
12800225,E,溫室氣體排放,範疇一直接排放,公噸CO2e,2018,3133890.3099999996
12800225,E,溫室氣體排放,範疇二間接排放,公噸CO2e,2018,2768831.6699999995
12800225,E,溫室氣體排放,每單位營收排放量,公噸CO2e/億元,2018,2112.8227013966452
16432742,E,溫室氣體排放,範疇一直接排放,公噸CO2e,2018,251578.53
16432742,E,溫室氣體排放,範疇二間接排放,公噸CO2e,2018,89664.61
16432742,E,溫室氣體排放,每單位營收排放量,公噸CO2e/億元,2018,3451.1351909393466
16450500,E,溫室氣體排放,範疇一直接排放,公噸CO2e,2018,359378.56
16450500,E,溫室氣體排放,範疇二間接排放,公噸CO2e,2018,264355.87
16450500,E,溫室氣體排放,每單位營收排放量,公噸CO2e/億元,2018,3698.1044718210146
70750217,E,溫室氣體排放,範疇一直接排放,公噸CO2e,2018,75421.29
70750217,E,溫室氣體排放,範疇二間接排放,公噸CO2e,2018,41972.26
70750217,E,溫室氣體排放,每單位營收排放量,公噸CO2e/億元,2018,4128.955345039951
84149738,E,溫室氣體排放,範疇一直接排放,公噸CO2e,2018,2713369.56
84149738,E,溫室氣體排放,範疇二間接排放,公噸CO2e,2018,2444486.3299999996
84149738,E,溫室氣體排放,每單位營收排放量,公噸CO2e/億元,2018,1676.6187638404754
12800225,E,溫室氣體排放,範疇一直接排放,公噸CO2e,2019,3000712.1399999997
12800225,E,溫室氣體排放,範疇二間接排放,公噸CO2e,2019,2653081.3799999994
12800225,E,溫室氣體排放,每單位營收排放量,公噸CO2e/億元,2019,2243.8252141735766
16432742,E,溫室氣體排放,範疇一直接排放,公噸CO2e,2019,195841.17
16432742,E,溫室氣體排放,範疇二間接排放,公噸CO2e,2019,84221.17
16432742,E,溫室氣體排放,每單位營收排放量,公噸CO2e/億元,2019,3177.1186295509046
16450500,E,溫室氣體排放,範疇一直接排放,公噸CO2e,2019,366685.94
16450500,E,溫室氣體排放,範疇二間接排放,公噸CO2e,2019,257135.43
16450500,E,溫室氣體排放,每單位營收排放量,公噸CO2e/億元,2019,3818.4465539241305
70750217,E,溫室氣體排放,範疇一直接排放,公噸CO2e,2019,95545.76
70750217,E,溫室氣體排放,範疇二間接排放,公噸CO2e,2019,43592.39
70750217,E,溫室氣體排放,每單位營收排放量,公噸CO2e/億元,2019,3159.4905418391686
84149738,E,溫室氣體排放,範疇一直接排放,公噸CO2e,2019,2349590.2
84149738,E,溫室氣體排放,範疇二間接排放,公噸CO2e,2019,2289612.57
84149738,E,溫室氣體排放,每單位營收排放量,公噸CO2e/億元,2019,1725.9472199315799
12205020,S,員工薪資,平均薪資,仟元,2020,641
12205020,S,員工薪資,薪資中位數,仟元,2020,550
47255947,S,員工薪資,平均薪資,仟元,2020,756
47255947,S,員工薪資,薪資中位數,仟元,2020,648
23218873,S,員工薪資,平均薪資,仟元,2020,611
23218873,S,員工薪資,薪資中位數,仟元,2020,499
11394902,S,員工薪資,平均薪資,仟元,2020,1045
11394902,S,員工薪資,薪資中位數,仟元,2020,1027
34516147,S,員工薪資,平均薪資,仟元,2020,760
34516147,S,員工薪資,薪資中位數,仟元,2020,596
97178376,S,員工薪資,平均薪資,仟元,2020,636
97178376,S,員工薪資,薪資中位數,仟元,2020,588
84149738,S,員工薪資,平均薪資,仟元,2020,972
84149738,S,員工薪資,薪資中位數,仟元,2020,783
22434156,S,員工薪資,平均薪資,仟元,2020,581
22434156,S,員工薪資,薪資中位數,仟元,2020,524
12206203,S,員工薪資,平均薪資,仟元,2020,468
12206203,S,員工薪資,薪資中位數,仟元,2020,358
12364770,S,員工薪資,平均薪資,仟元,2020,531
12364770,S,員工薪資,薪資中位數,仟元,2020,445
34348590,S,員工薪資,平均薪資,仟元,2020,542
34348590,S,員工薪資,薪資中位數,仟元,2020,370
35866232,S,員工薪資,平均薪資,仟元,2020,605
35866232,S,員工薪資,薪資中位數,仟元,2020,543
84929896,S,員工薪資,平均薪資,仟元,2020,1283
84929896,S,員工薪資,薪資中位數,仟元,2020,1128
89380545,S,員工薪資,平均薪資,仟元,2020,585
89380545,S,員工薪資,薪資中位數,仟元,2020,545
22480876,S,員工薪資,平均薪資,仟元,2020,1259
22480876,S,員工薪資,薪資中位數,仟元,2020,779
55921894,S,員工薪資,平均薪資,仟元,2020,753
55921894,S,員工薪資,薪資中位數,仟元,2020,647
44955117,S,員工薪資,平均薪資,仟元,2020,712
44955117,S,員工薪資,薪資中位數,仟元,2020,673
34452164,S,員工薪資,平均薪資,仟元,2020,773
34452164,S,員工薪資,薪資中位數,仟元,2020,698
89261652,S,員工薪資,平均薪資,仟元,2020,577
89261652,S,員工薪資,薪資中位數,仟元,2020,492
70750217,S,員工薪資,平均薪資,仟元,2020,852
70750217,S,員工薪資,薪資中位數,仟元,2020,724
84785413,S,員工薪資,平均薪資,仟元,2020,611
84785413,S,員工薪資,薪資中位數,仟元,2020,575
16439169,S,員工薪資,平均薪資,仟元,2020,524
16439169,S,員工薪資,薪資中位數,仟元,2020,485
97307625,S,員工薪資,平均薪資,仟元,2020,1242
97307625,S,員工薪資,薪資中位數,仟元,2020,1199
97049373,S,員工薪資,平均薪資,仟元,2020,615
97049373,S,員工薪資,薪資中位數,仟元,2020,556
16302558,S,員工薪資,平均薪資,仟元,2020,934
16302558,S,員工薪資,薪資中位數,仟元,2020,793
12979925,S,員工薪資,平均薪資,仟元,2020,497
12979925,S,員工薪資,薪資中位數,仟元,2020,403
23572557,S,員工薪資,平均薪資,仟元,2020,974
23572557,S,員工薪資,薪資中位數,仟元,2020,809
70634323,S,員工薪資,平均薪資,仟元,2020,648
70634323,S,員工薪資,薪資中位數,仟元,2020,570
70703897,S,員工薪資,平均薪資,仟元,2020,823
70703897,S,員工薪資,薪資中位數,仟元,2020,695
12800225,S,員工薪資,平均薪資,仟元,2020,893
12800225,S,員工薪資,薪資中位數,仟元,2020,675
12800061,S,員工薪資,平均薪資,仟元,2020,731
12800061,S,員工薪資,薪資中位數,仟元,2020,581
70720798,S,員工薪資,平均薪資,仟元,2020,765
70720798,S,員工薪資,薪資中位數,仟元,2020,691
70526133,S,員工薪資,平均薪資,仟元,2020,622
70526133,S,員工薪資,薪資中位數,仟元,2020,517
16522758,S,員工薪資,平均薪資,仟元,2020,938
16522758,S,員工薪資,薪資中位數,仟元,2020,819
27763753,S,員工薪資,平均薪資,仟元,2020,668
27763753,S,員工薪資,薪資中位數,仟元,2020,552
12907747,S,員工薪資,平均薪資,仟元,2020,580
12907747,S,員工薪資,薪資中位數,仟元,2020,443
80260061,S,員工薪資,平均薪資,仟元,2020,722
80260061,S,員工薪資,薪資中位數,仟元,2020,630
28675574,S,員工薪資,平均薪資,仟元,2020,849
28675574,S,員工薪資,薪資中位數,仟元,2020,773
22164527,S,員工薪資,平均薪資,仟元,2020,686
22164527,S,員工薪資,薪資中位數,仟元,2020,519
28334226,S,員工薪資,平均薪資,仟元,2020,566
28334226,S,員工薪資,薪資中位數,仟元,2020,500
27790294,S,員工薪資,平均薪資,仟元,2020,679
27790294,S,員工薪資,薪資中位數,仟元,2020,637
70848492,S,員工薪資,平均薪資,仟元,2020,541
70848492,S,員工薪資,薪資中位數,仟元,2020,501
28357108,S,員工薪資,平均薪資,仟元,2020,1417
28357108,S,員工薪資,薪資中位數,仟元,2020,1185
89639615,S,員工薪資,平均薪資,仟元,2020,679
89639615,S,員工薪資,薪資中位數,仟元,2020,582
16450500,S,員工薪資,平均薪資,仟元,2020,941
16450500,S,員工薪資,薪資中位數,仟元,2020,804
23504361,S,員工薪資,平均薪資,仟元,2020,807
23504361,S,員工薪資,薪資中位數,仟元,2020,619
34168978,S,員工薪資,平均薪資,仟元,2020,639
34168978,S,員工薪資,薪資中位數,仟元,2020,585
89358419,S,員工薪資,平均薪資,仟元,2020,697
89358419,S,員工薪資,薪資中位數,仟元,2020,623
22101208,S,員工薪資,平均薪資,仟元,2020,1064
22101208,S,員工薪資,薪資中位數,仟元,2020,826
56654500,S,員工薪資,平均薪資,仟元,2020,490
56654500,S,員工薪資,薪資中位數,仟元,2020,448
16253228,S,員工薪資,平均薪資,仟元,2020,935
16253228,S,員工薪資,薪資中位數,仟元,2020,969
22601800,S,員工薪資,平均薪資,仟元,2020,728
22601800,S,員工薪資,薪資中位數,仟元,2020,612
23722471,S,員工薪資,平均薪資,仟元,2020,628
23722471,S,員工薪資,薪資中位數,仟元,2020,513
16743865,S,員工薪資,平均薪資,仟元,2020,498
16743865,S,員工薪資,薪資中位數,仟元,2020,440
27340208,S,員工薪資,平均薪資,仟元,2020,578
27340208,S,員工薪資,薪資中位數,仟元,2020,548
28997300,S,員工薪資,平均薪資,仟元,2020,572
28997300,S,員工薪資,薪資中位數,仟元,2020,485
28580346,S,員工薪資,平均薪資,仟元,2020,494
28580346,S,員工薪資,薪資中位數,仟元,2020,472
54258218,S,員工薪資,平均薪資,仟元,2020,710
54258218,S,員工薪資,薪資中位數,仟元,2020,648
70697332,S,員工薪資,平均薪資,仟元,2020,833
70697332,S,員工薪資,薪資中位數,仟元,2020,664
70766576,S,員工薪資,平均薪資,仟元,2020,719
70766576,S,員工薪資,薪資中位數,仟元,2020,626
16432742,S,員工薪資,平均薪資,仟元,2020,734
16432742,S,員工薪資,薪資中位數,仟元,2020,656
16549778,S,員工薪資,平均薪資,仟元,2020,930
16549778,S,員工薪資,薪資中位數,仟元,2020,728
12205020,S,員工薪資,平均薪資,仟元,2019,528
12205020,S,員工薪資,薪資中位數,仟元,2019,485
47255947,S,員工薪資,平均薪資,仟元,2019,699
47255947,S,員工薪資,薪資中位數,仟元,2019,592
23218873,S,員工薪資,平均薪資,仟元,2019,593
23218873,S,員工薪資,薪資中位數,仟元,2019,500
11394902,S,員工薪資,平均薪資,仟元,2019,1042
11394902,S,員工薪資,薪資中位數,仟元,2019,990
34516147,S,員工薪資,平均薪資,仟元,2019,725
34516147,S,員工薪資,薪資中位數,仟元,2019,572
97178376,S,員工薪資,平均薪資,仟元,2019,704
97178376,S,員工薪資,薪資中位數,仟元,2019,632
84149738,S,員工薪資,平均薪資,仟元,2019,913
84149738,S,員工薪資,薪資中位數,仟元,2019,730
22434156,S,員工薪資,平均薪資,仟元,2019,490
22434156,S,員工薪資,薪資中位數,仟元,2019,428
12206203,S,員工薪資,平均薪資,仟元,2019,443
12206203,S,員工薪資,薪資中位數,仟元,2019,366
12364770,S,員工薪資,平均薪資,仟元,2019,555
12364770,S,員工薪資,薪資中位數,仟元,2019,544
34348590,S,員工薪資,平均薪資,仟元,2019,610
34348590,S,員工薪資,薪資中位數,仟元,2019,442
35866232,S,員工薪資,平均薪資,仟元,2019,582
35866232,S,員工薪資,薪資中位數,仟元,2019,521
84929896,S,員工薪資,平均薪資,仟元,2019,1048
84929896,S,員工薪資,薪資中位數,仟元,2019,926
89380545,S,員工薪資,平均薪資,仟元,2019,564
89380545,S,員工薪資,薪資中位數,仟元,2019,521
22480876,S,員工薪資,平均薪資,仟元,2019,1392
22480876,S,員工薪資,薪資中位數,仟元,2019,752
55921894,S,員工薪資,平均薪資,仟元,2019,769
55921894,S,員工薪資,薪資中位數,仟元,2019,656
44955117,S,員工薪資,平均薪資,仟元,2019,621
44955117,S,員工薪資,薪資中位數,仟元,2019,606
34452164,S,員工薪資,平均薪資,仟元,2019,797
34452164,S,員工薪資,薪資中位數,仟元,2019,694
89261652,S,員工薪資,平均薪資,仟元,2019,564
89261652,S,員工薪資,薪資中位數,仟元,2019,481
70750217,S,員工薪資,平均薪資,仟元,2019,809
70750217,S,員工薪資,薪資中位數,仟元,2019,600
84785413,S,員工薪資,平均薪資,仟元,2019,617
84785413,S,員工薪資,薪資中位數,仟元,2019,560
16439169,S,員工薪資,平均薪資,仟元,2019,516
16439169,S,員工薪資,薪資中位數,仟元,2019,478
97307625,S,員工薪資,平均薪資,仟元,2019,1350
97307625,S,員工薪資,薪資中位數,仟元,2019,1243
97049373,S,員工薪資,平均薪資,仟元,2019,525
97049373,S,員工薪資,薪資中位數,仟元,2019,454
16302558,S,員工薪資,平均薪資,仟元,2019,882
16302558,S,員工薪資,薪資中位數,仟元,2019,806
12979925,S,員工薪資,平均薪資,仟元,2019,523
12979925,S,員工薪資,薪資中位數,仟元,2019,412
23572557,S,員工薪資,平均薪資,仟元,2019,907
23572557,S,員工薪資,薪資中位數,仟元,2019,751
70634323,S,員工薪資,平均薪資,仟元,2019,619
70634323,S,員工薪資,薪資中位數,仟元,2019,528
70703897,S,員工薪資,平均薪資,仟元,2019,871
70703897,S,員工薪資,薪資中位數,仟元,2019,757
12800225,S,員工薪資,平均薪資,仟元,2019,739
12800225,S,員工薪資,薪資中位數,仟元,2019,626
12800061,S,員工薪資,平均薪資,仟元,2019,748
12800061,S,員工薪資,薪資中位數,仟元,2019,596
70720798,S,員工薪資,平均薪資,仟元,2019,880
70720798,S,員工薪資,薪資中位數,仟元,2019,797
16522758,S,員工薪資,平均薪資,仟元,2019,1148
16522758,S,員工薪資,薪資中位數,仟元,2019,912
27763753,S,員工薪資,平均薪資,仟元,2019,688
27763753,S,員工薪資,薪資中位數,仟元,2019,525
12907747,S,員工薪資,平均薪資,仟元,2019,589
12907747,S,員工薪資,薪資中位數,仟元,2019,451
80260061,S,員工薪資,平均薪資,仟元,2019,703
80260061,S,員工薪資,薪資中位數,仟元,2019,604
28675574,S,員工薪資,平均薪資,仟元,2019,862
28675574,S,員工薪資,薪資中位數,仟元,2019,793
22164527,S,員工薪資,平均薪資,仟元,2019,698
22164527,S,員工薪資,薪資中位數,仟元,2019,512
28334226,S,員工薪資,平均薪資,仟元,2019,560
28334226,S,員工薪資,薪資中位數,仟元,2019,486
27790294,S,員工薪資,平均薪資,仟元,2019,663
27790294,S,員工薪資,薪資中位數,仟元,2019,637
70848492,S,員工薪資,平均薪資,仟元,2019,500
70848492,S,員工薪資,薪資中位數,仟元,2019,459
28357108,S,員工薪資,平均薪資,仟元,2019,1468
28357108,S,員工薪資,薪資中位數,仟元,2019,1200
89639615,S,員工薪資,平均薪資,仟元,2019,654
89639615,S,員工薪資,薪資中位數,仟元,2019,539
16450500,S,員工薪資,平均薪資,仟元,2019,732
16450500,S,員工薪資,薪資中位數,仟元,2019,609
23504361,S,員工薪資,平均薪資,仟元,2019,748
23504361,S,員工薪資,薪資中位數,仟元,2019,629
34168978,S,員工薪資,平均薪資,仟元,2019,600
34168978,S,員工薪資,薪資中位數,仟元,2019,565
89358419,S,員工薪資,平均薪資,仟元,2019,659
89358419,S,員工薪資,薪資中位數,仟元,2019,587
22101208,S,員工薪資,平均薪資,仟元,2019,1069
22101208,S,員工薪資,薪資中位數,仟元,2019,797
56654500,S,員工薪資,平均薪資,仟元,2019,473
56654500,S,員工薪資,薪資中位數,仟元,2019,425
16253228,S,員工薪資,平均薪資,仟元,2019,1165
16253228,S,員工薪資,薪資中位數,仟元,2019,642
22601800,S,員工薪資,平均薪資,仟元,2019,781
22601800,S,員工薪資,薪資中位數,仟元,2019,745
23722471,S,員工薪資,平均薪資,仟元,2019,591
23722471,S,員工薪資,薪資中位數,仟元,2019,490
16743865,S,員工薪資,平均薪資,仟元,2019,513
16743865,S,員工薪資,薪資中位數,仟元,2019,446
27340208,S,員工薪資,平均薪資,仟元,2019,551
27340208,S,員工薪資,薪資中位數,仟元,2019,512
28997300,S,員工薪資,平均薪資,仟元,2019,507
28997300,S,員工薪資,薪資中位數,仟元,2019,424
28580346,S,員工薪資,平均薪資,仟元,2019,463
28580346,S,員工薪資,薪資中位數,仟元,2019,438
54258218,S,員工薪資,平均薪資,仟元,2019,671
54258218,S,員工薪資,薪資中位數,仟元,2019,597
70697332,S,員工薪資,平均薪資,仟元,2019,838
70697332,S,員工薪資,薪資中位數,仟元,2019,700
70766576,S,員工薪資,平均薪資,仟元,2019,643
70766576,S,員工薪資,薪資中位數,仟元,2019,550
16432742,S,員工薪資,平均薪資,仟元,2019,731
16432742,S,員工薪資,薪資中位數,仟元,2019,656
16549778,S,員工薪資,平均薪資,仟元,2019,925
16549778,S,員工薪資,薪資中位數,仟元,2019,725
12205020,S,員工薪資,平均薪資,仟元,2018,558
12205020,S,員工薪資,薪資中位數,仟元,2018,NaN
47255947,S,員工薪資,平均薪資,仟元,2018,696
47255947,S,員工薪資,薪資中位數,仟元,2018,NaN
23218873,S,員工薪資,平均薪資,仟元,2018,577
23218873,S,員工薪資,薪資中位數,仟元,2018,NaN
11394902,S,員工薪資,平均薪資,仟元,2018,955
11394902,S,員工薪資,薪資中位數,仟元,2018,NaN
34516147,S,員工薪資,平均薪資,仟元,2018,699
34516147,S,員工薪資,薪資中位數,仟元,2018,NaN
97178376,S,員工薪資,平均薪資,仟元,2018,534
97178376,S,員工薪資,薪資中位數,仟元,2018,NaN
84149738,S,員工薪資,平均薪資,仟元,2018,979
84149738,S,員工薪資,薪資中位數,仟元,2018,NaN
22434156,S,員工薪資,平均薪資,仟元,2018,550
22434156,S,員工薪資,薪資中位數,仟元,2018,NaN
12206203,S,員工薪資,平均薪資,仟元,2018,398
12206203,S,員工薪資,薪資中位數,仟元,2018,NaN
12364770,S,員工薪資,平均薪資,仟元,2018,516
12364770,S,員工薪資,薪資中位數,仟元,2018,NaN
34348590,S,員工薪資,平均薪資,仟元,2018,615
34348590,S,員工薪資,薪資中位數,仟元,2018,NaN
35866232,S,員工薪資,平均薪資,仟元,2018,585
35866232,S,員工薪資,薪資中位數,仟元,2018,NaN
84929896,S,員工薪資,平均薪資,仟元,2018,1080
84929896,S,員工薪資,薪資中位數,仟元,2018,NaN
89380545,S,員工薪資,平均薪資,仟元,2018,445
89380545,S,員工薪資,薪資中位數,仟元,2018,NaN
22480876,S,員工薪資,平均薪資,仟元,2018,1305
22480876,S,員工薪資,薪資中位數,仟元,2018,NaN
55921894,S,員工薪資,平均薪資,仟元,2018,806
55921894,S,員工薪資,薪資中位數,仟元,2018,NaN
44955117,S,員工薪資,平均薪資,仟元,2018,680
44955117,S,員工薪資,薪資中位數,仟元,2018,NaN
34452164,S,員工薪資,平均薪資,仟元,2018,717
34452164,S,員工薪資,薪資中位數,仟元,2018,NaN
89261652,S,員工薪資,平均薪資,仟元,2018,524
89261652,S,員工薪資,薪資中位數,仟元,2018,NaN
70750217,S,員工薪資,平均薪資,仟元,2018,668
70750217,S,員工薪資,薪資中位數,仟元,2018,NaN
84785413,S,員工薪資,平均薪資,仟元,2018,575
84785413,S,員工薪資,薪資中位數,仟元,2018,NaN
16439169,S,員工薪資,平均薪資,仟元,2018,516
16439169,S,員工薪資,薪資中位數,仟元,2018,NaN
97307625,S,員工薪資,平均薪資,仟元,2018,1233
97307625,S,員工薪資,薪資中位數,仟元,2018,NaN
97049373,S,員工薪資,平均薪資,仟元,2018,542
97049373,S,員工薪資,薪資中位數,仟元,2018,NaN
16302558,S,員工薪資,平均薪資,仟元,2018,856
16302558,S,員工薪資,薪資中位數,仟元,2018,NaN
12979925,S,員工薪資,平均薪資,仟元,2018,506
12979925,S,員工薪資,薪資中位數,仟元,2018,NaN
23572557,S,員工薪資,平均薪資,仟元,2018,756
23572557,S,員工薪資,薪資中位數,仟元,2018,NaN
70634323,S,員工薪資,平均薪資,仟元,2018,601
70634323,S,員工薪資,薪資中位數,仟元,2018,NaN
70703897,S,員工薪資,平均薪資,仟元,2018,981
70703897,S,員工薪資,薪資中位數,仟元,2018,NaN
12800225,S,員工薪資,平均薪資,仟元,2018,764
12800225,S,員工薪資,薪資中位數,仟元,2018,NaN
12800061,S,員工薪資,平均薪資,仟元,2018,792
12800061,S,員工薪資,薪資中位數,仟元,2018,NaN
70720798,S,員工薪資,平均薪資,仟元,2018,815
70720798,S,員工薪資,薪資中位數,仟元,2018,NaN
16522758,S,員工薪資,平均薪資,仟元,2018,1524
16522758,S,員工薪資,薪資中位數,仟元,2018,NaN
27763753,S,員工薪資,平均薪資,仟元,2018,682
27763753,S,員工薪資,薪資中位數,仟元,2018,NaN
12907747,S,員工薪資,平均薪資,仟元,2018,589
12907747,S,員工薪資,薪資中位數,仟元,2018,NaN
80260061,S,員工薪資,平均薪資,仟元,2018,673
80260061,S,員工薪資,薪資中位數,仟元,2018,NaN
28675574,S,員工薪資,平均薪資,仟元,2018,636
28675574,S,員工薪資,薪資中位數,仟元,2018,NaN
22164527,S,員工薪資,平均薪資,仟元,2018,678
22164527,S,員工薪資,薪資中位數,仟元,2018,NaN
28334226,S,員工薪資,平均薪資,仟元,2018,531
28334226,S,員工薪資,薪資中位數,仟元,2018,NaN
27790294,S,員工薪資,平均薪資,仟元,2018,664
27790294,S,員工薪資,薪資中位數,仟元,2018,NaN
70848492,S,員工薪資,平均薪資,仟元,2018,476
70848492,S,員工薪資,薪資中位數,仟元,2018,NaN
28357108,S,員工薪資,平均薪資,仟元,2018,1520
28357108,S,員工薪資,薪資中位數,仟元,2018,NaN
89639615,S,員工薪資,平均薪資,仟元,2018,642
89639615,S,員工薪資,薪資中位數,仟元,2018,NaN
16450500,S,員工薪資,平均薪資,仟元,2018,729
16450500,S,員工薪資,薪資中位數,仟元,2018,NaN
23504361,S,員工薪資,平均薪資,仟元,2018,1001
23504361,S,員工薪資,薪資中位數,仟元,2018,NaN
34168978,S,員工薪資,平均薪資,仟元,2018,660
34168978,S,員工薪資,薪資中位數,仟元,2018,NaN
89358419,S,員工薪資,平均薪資,仟元,2018,712
89358419,S,員工薪資,薪資中位數,仟元,2018,NaN
22101208,S,員工薪資,平均薪資,仟元,2018,808
22101208,S,員工薪資,薪資中位數,仟元,2018,NaN
56654500,S,員工薪資,平均薪資,仟元,2018,453
56654500,S,員工薪資,薪資中位數,仟元,2018,NaN
16253228,S,員工薪資,平均薪資,仟元,2018,603
16253228,S,員工薪資,薪資中位數,仟元,2018,NaN
22601800,S,員工薪資,平均薪資,仟元,2018,747
22601800,S,員工薪資,薪資中位數,仟元,2018,NaN
23722471,S,員工薪資,平均薪資,仟元,2018,546
23722471,S,員工薪資,薪資中位數,仟元,2018,NaN
16743865,S,員工薪資,平均薪資,仟元,2018,546
16743865,S,員工薪資,薪資中位數,仟元,2018,NaN
27340208,S,員工薪資,平均薪資,仟元,2018,522
27340208,S,員工薪資,薪資中位數,仟元,2018,NaN
28997300,S,員工薪資,平均薪資,仟元,2018,482
28997300,S,員工薪資,薪資中位數,仟元,2018,NaN
28580346,S,員工薪資,平均薪資,仟元,2018,466
28580346,S,員工薪資,薪資中位數,仟元,2018,NaN
54258218,S,員工薪資,平均薪資,仟元,2018,694
54258218,S,員工薪資,薪資中位數,仟元,2018,NaN
70766576,S,員工薪資,平均薪資,仟元,2018,679
70766576,S,員工薪資,薪資中位數,仟元,2018,NaN
16432742,S,員工薪資,平均薪資,仟元,2018,645
16432742,S,員工薪資,薪資中位數,仟元,2018,NaN
16549778,S,員工薪資,平均薪資,仟元,2018,950
16549778,S,員工薪資,薪資中位數,仟元,2018,NaN
12907747,G,,資本額,元,2020,1225285600
12907747,G,,資本額,元,2019,1225285600
34348590,G,,資本額,元,2020,1563342260
34348590,G,,資本額,元,2019,1563342260
22601800,G,,資本額,元,2020,1149517890
22601800,G,,資本額,元,2019,1149517890
70703897,G,,資本額,元,2020,869573930
