分類,子分類,項目,單位,年份,數值
S,員工薪資,平均薪資,仟元,2018,546
S,員工薪資,薪資中位數,仟元,2018,NaN
G,,資本額,元,2020,1047781360
G,,資本額,元,2019,1047781360
G,營運狀況,營業收入,仟元,2020,77932
G,營運狀況,營業成本,仟元,2020,175081
G,營運狀況,營業費用,仟元,2020,38907
G,營運狀況,淨利,仟元,2020,-73234
G,營運狀況,營業收入,仟元,2019,114295
G,營運狀況,營業成本,仟元,2019,240746
G,營運狀況,營業費用,仟元,2019,42774
G,營運狀況,淨利,仟元,2019,-122674
G,營運狀況,營業收入,仟元,2018,184560
G,營運狀況,營業成本,仟元,2018,353498
G,營運狀況,營業費用,仟元,2018,45650
G,營運狀況,淨利,仟元,2018,70732
G,營運狀況,營業收入,仟元,2017,226696
G,營運狀況,營業成本,仟元,2017,416542
G,營運狀況,營業費用,仟元,2017,65262
G,營運狀況,淨利,仟元,2017,-135802
G,營運狀況,營業收入,仟元,2016,172409
G,營運狀況,營業成本,仟元,2016,318423
G,營運狀況,營業費用,仟元,2016,61738
G,營運狀況,淨利,仟元,2016,-158619
