分類,子分類,項目,來自公司報告,單位,年份,數值
E,環境違規,違反環境法規金額-空氣,,元,2020,0
E,環境違規,違反環境法規次數-空氣,,次,2020,0
E,環境違規,違反環境法規金額-水,,元,2020,0
E,環境違規,違反環境法規次數-水,,次,2020,0
E,環境違規,違反環境法規金額-misc,,元,2021,100000
E,環境違規,違反環境法規次數-misc,,次,2021,1
E,環境違規,違反環境法規金額-空氣,,元,2021,0
E,環境違規,違反環境法規次數-空氣,,次,2021,0
E,環境違規,違反環境法規金額-水,,元,2021,0
E,環境違規,違反環境法規次數-水,,次,2021,0
E,環境違規,違反環境法規金額-misc,,元,2022,0
E,環境違規,違反環境法規次數-misc,,次,2022,0
E,環境違規,違反環境法規金額-空氣,,元,2022,0
E,環境違規,違反環境法規次數-空氣,,次,2022,0
E,環境違規,違反環境法規金額-水,,元,2022,546000
E,環境違規,違反環境法規次數-水,,次,2022,1
E,環境違規,違反環境法規金額-misc,,元,2023,6000
E,環境違規,違反環境法規次數-misc,,次,2023,1
E,環境違規,違反環境法規金額-空氣,,元,2023,0
E,環境違規,違反環境法規次數-空氣,,次,2023,0
E,環境違規,違反環境法規金額-水,,元,2023,0
E,環境違規,違反環境法規次數-水,,次,2023,0
S,員工薪資,平均薪資,,仟元,2020,490
S,員工薪資,薪資中位數,,仟元,2020,448
S,員工薪資,平均薪資,,仟元,2019,473
S,員工薪資,薪資中位數,,仟元,2019,425
S,員工薪資,平均薪資,,仟元,2018,453
G,資本額,資本額,,元,2020,1741469310
G,資本額,資本額,,元,2019,1741469310
G,營運狀況,營業收入,,仟元,2020,2979162
G,營運狀況,營業成本,,仟元,2020,2857760
G,營運狀況,營業費用,,仟元,2020,364044
G,營運狀況,淨利,,仟元,2020,-216792
G,營運狀況,營業收入,,仟元,2019,3391609
G,營運狀況,營業成本,,仟元,2019,3194166
G,營運狀況,營業費用,,仟元,2019,404756
G,營運狀況,淨利,,仟元,2019,-110169
G,營運狀況,營業收入,,仟元,2018,3518289
G,營運狀況,營業成本,,仟元,2018,3341628
G,營運狀況,營業費用,,仟元,2018,401566
G,營運狀況,淨利,,仟元,2018,-22782
G,營運狀況,營業收入,,仟元,2017,3655354
G,營運狀況,營業成本,,仟元,2017,3442936
G,營運狀況,營業費用,,仟元,2017,439774
G,營運狀況,淨利,,仟元,2017,-141098
G,營運狀況,營業收入,,仟元,2016,4003731
G,營運狀況,營業成本,,仟元,2016,3621503
G,營運狀況,營業費用,,仟元,2016,498291
G,營運狀況,淨利,,仟元,2016,-42002
